issue_id,source_group_id,revision,title,creator,year,date,repository,source_url,status
sim_good-housekeeping_good-housekeeping_1886-01-23_2_6,good-housekeeping-early,rev2,Good Housekeeping 1886-01-23: Vol 2 Iss 6,,1886,1886-01-23T00:00:00Z,Internet Archive,https://archive.org/details/sim_good-housekeeping_good-housekeeping_1886-01-23_2_6,issue_candidate
sim_good-housekeeping_good-housekeeping_1886-10-02_3_11,good-housekeeping-early,rev2,Good Housekeeping 1886-10-02: Vol 3 Iss 11,,1886,1886-10-02T00:00:00Z,Internet Archive,https://archive.org/details/sim_good-housekeeping_good-housekeeping_1886-10-02_3_11,issue_candidate
sim_good-housekeeping_good-housekeeping_1886-05-29_3_2,good-housekeeping-early,rev2,Good Housekeeping 1886-05-29: Vol 3 Iss 2,,1886,1886-05-29T00:00:00Z,Internet Archive,https://archive.org/details/sim_good-housekeeping_good-housekeeping_1886-05-29_3_2,issue_candidate
sim_good-housekeeping_good-housekeeping_1886-12-25_4_4,good-housekeeping-early,rev2,Good Housekeeping 1886-12-25: Vol 4 Iss 4,,1886,1886-12-25T00:00:00Z,Internet Archive,https://archive.org/details/sim_good-housekeeping_good-housekeeping_1886-12-25_4_4,issue_candidate
sim_good-housekeeping_good-housekeeping_1886-02-06_2_7,good-housekeeping-early,rev2,Good Housekeeping 1886-02-06: Vol 2 Iss 7,,1886,1886-02-06T00:00:00Z,Internet Archive,https://archive.org/details/sim_good-housekeeping_good-housekeeping_1886-02-06_2_7,issue_candidate
sim_good-housekeeping_good-housekeeping_1886-11-27_4_2,good-housekeeping-early,rev2,Good Housekeeping 1886-11-27: Vol 4 Iss 2,,1886,1886-11-27T00:00:00Z,Internet Archive,https://archive.org/details/sim_good-housekeeping_good-housekeeping_1886-11-27_4_2,issue_candidate
sim_good-housekeeping_good-housekeeping_1886-05-01_2_13,good-housekeeping-early,rev2,Good Housekeeping 1886-05-01: Vol 2 Iss 13,,1886,1886-05-01T00:00:00Z,Internet Archive,https://archive.org/details/sim_good-housekeeping_good-housekeeping_1886-05-01_2_13,issue_candidate
sim_good-housekeeping_good-housekeeping_1886-04-17_2_12,good-housekeeping-early,rev2,Good Housekeeping 1886-04-17: Vol 2 Iss 12,,1886,1886-04-17T00:00:00Z,Internet Archive,https://archive.org/details/sim_good-housekeeping_good-housekeeping_1886-04-17_2_12,issue_candidate
sim_good-housekeeping_good-housekeeping_1886-01-09_2_5,good-housekeeping-early,rev2,Good Housekeeping 1886-01-09: Vol 2 Iss 5,,1886,1886-01-09T00:00:00Z,Internet Archive,https://archive.org/details/sim_good-housekeeping_good-housekeeping_1886-01-09_2_5,issue_candidate
sim_good-housekeeping_good-housekeeping_1886-07-24_3_6,good-housekeeping-early,rev2,Good Housekeeping 1886-07-24: Vol 3 Iss 6,,1886,1886-07-24T00:00:00Z,Internet Archive,https://archive.org/details/sim_good-housekeeping_good-housekeeping_1886-07-24_3_6,issue_candidate
sim_good-housekeeping_good-housekeeping_1886-10-16_3_12,good-housekeeping-early,rev2,Good Housekeeping 1886-10-16: Vol 3 Iss 12,,1886,1886-10-16T00:00:00Z,Internet Archive,https://archive.org/details/sim_good-housekeeping_good-housekeeping_1886-10-16_3_12,issue_candidate
sim_good-housekeeping_good-housekeeping_1886-12-11_4_3,good-housekeeping-early,rev2,Good Housekeeping 1886-12-11: Vol 4 Iss 3,,1886,1886-12-11T00:00:00Z,Internet Archive,https://archive.org/details/sim_good-housekeeping_good-housekeeping_1886-12-11_4_3,issue_candidate
sim_good-housekeeping_good-housekeeping_1886-07-10_3_5,good-housekeeping-early,rev2,Good Housekeeping 1886-07-10: Vol 3 Iss 5,,1886,1886-07-10T00:00:00Z,Internet Archive,https://archive.org/details/sim_good-housekeeping_good-housekeeping_1886-07-10_3_5,issue_candidate
sim_good-housekeeping_good-housekeeping_1886-05-15_3_1,good-housekeeping-early,rev2,Good Housekeeping 1886-05-15: Vol 3 Iss 1,,1886,1886-05-15T00:00:00Z,Internet Archive,https://archive.org/details/sim_good-housekeeping_good-housekeeping_1886-05-15_3_1,issue_candidate
sim_good-housekeeping_good-housekeeping_1886-08-07_3_7,good-housekeeping-early,rev2,Good Housekeeping 1886-08-07: Vol 3 Iss 7,,1886,1886-08-07T00:00:00Z,Internet Archive,https://archive.org/details/sim_good-housekeeping_good-housekeeping_1886-08-07_3_7,issue_candidate
sim_good-housekeeping_good-housekeeping_1886-03-06_2_9,good-housekeeping-early,rev2,Good Housekeeping 1886-03-06: Vol 2 Iss 9,,1886,1886-03-06T00:00:00Z,Internet Archive,https://archive.org/details/sim_good-housekeeping_good-housekeeping_1886-03-06_2_9,issue_candidate
sim_good-housekeeping_good-housekeeping_november-13-1886-april-30-1887_4_contents,good-housekeeping-early,rev2,"Good Housekeeping November 13, 1886-April 30, 1887: Vol 4 Table of Contents",,1886,1886-11-13T00:00:00Z,Internet Archive,https://archive.org/details/sim_good-housekeeping_good-housekeeping_november-13-1886-april-30-1887_4_contents,issue_candidate
sim_good-housekeeping_good-housekeeping_1886-06-12_3_3,good-housekeeping-early,rev2,Good Housekeeping 1886-06-12: Vol 3 Iss 3,,1886,1886-06-12T00:00:00Z,Internet Archive,https://archive.org/details/sim_good-housekeeping_good-housekeeping_1886-06-12_3_3,issue_candidate
sim_good-housekeeping_good-housekeeping_1886-09-18_3_10,good-housekeeping-early,rev2,Good Housekeeping 1886-09-18: Vol 3 Iss 10,,1886,1886-09-18T00:00:00Z,Internet Archive,https://archive.org/details/sim_good-housekeeping_good-housekeeping_1886-09-18_3_10,issue_candidate
sim_good-housekeeping_good-housekeeping_1886-02-20_2_8,good-housekeeping-early,rev2,Good Housekeeping 1886-02-20: Vol 2 Iss 8,,1886,1886-02-20T00:00:00Z,Internet Archive,https://archive.org/details/sim_good-housekeeping_good-housekeeping_1886-02-20_2_8,issue_candidate
sim_good-housekeeping_good-housekeeping_1886-06-26_3_4,good-housekeeping-early,rev2,Good Housekeeping 1886-06-26: Vol 3 Iss 4,,1886,1886-06-26T00:00:00Z,Internet Archive,https://archive.org/details/sim_good-housekeeping_good-housekeeping_1886-06-26_3_4,issue_candidate
sim_good-housekeeping_good-housekeeping_1886-11-13_4_1,good-housekeeping-early,rev2,Good Housekeeping 1886-11-13: Vol 4 Iss 1,,1886,1886-11-13T00:00:00Z,Internet Archive,https://archive.org/details/sim_good-housekeeping_good-housekeeping_1886-11-13_4_1,issue_candidate
sim_good-housekeeping_good-housekeeping_may-15-1886-october-30-1886_3_contents,good-housekeeping-early,rev2,"Good Housekeeping May 15, 1886-October 30, 1886: Vol 3 Table of Contents",,1886,1886-05-15T00:00:00Z,Internet Archive,https://archive.org/details/sim_good-housekeeping_good-housekeeping_may-15-1886-october-30-1886_3_contents,issue_candidate
